[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
a17491eb03a82295   19 of  49   com/google/android/datatransport/runtime/TransportRuntime
b4d6098fe505d1ff    1 of   3   kotlin/jvm/internal/Lambda
aa9538acc706a49c    1 of   3   shark/AndroidObjectInspectors$APPLICATION
18d5d70bd3f34d8e    2 of   9   kotlin/coroutines/EmptyCoroutineContext
a61e3bed1eb63ae0    8 of  11   curtains/internal/WindowManagerSpy$windowManagerClass$2
1b6fac64cfe3c142    3 of   3   shark/AndroidReferenceMatchers$ACCESSIBILITY_NODE_ID_MANAGER
e3dabd7fe3227c2c   24 of  61   org/wikipedia/connectivity/ConnectionStateMonitor
632b5c4c4c97825c    1 of   2   com/google/android/datatransport/runtime/ExecutionModule
5f863d3906e5ddf7    3 of   4   leakcanary/ServiceWatcher$activityThreadInstance$2
5d230ad930da9e8f   19 of  37   retrofit2/Platform
05f3417099653c54    1 of   6   io/reactivex/rxjava3/internal/operators/observable/ObservableObserveOn
06e88491b26a61a1    2 of  49   androidx/core/os/HandlerCompat
8f96beb6592d31b5   11 of  11   com/google/firebase/datatransport/TransportRegistrar
e2269b197d6785e1    2 of   7   shark/AndroidReferenceMatchers$VIEW_GROUP__M_PRE_SORTED_CHILDREN$add$1
69c94d974af00f14    5 of   8   kotlinx/coroutines/CoroutineContextKt$hasCopyableElements$1
4f42db3eb8cdbd0b    1 of  14   org/wikipedia/dataclient/okhttp/DefaultMaxStaleRequestInterceptor
fc259e7d2f7cf498    1 of   2   kotlinx/coroutines/StandaloneCoroutine
cc89e4f7e8b5e976    4 of 1151   kotlin/collections/ArraysKt___ArraysJvmKt
7cae259b8f41dfcb    3 of  26   kotlin/collections/CollectionsKt__IterablesKt
f945ce86751d2361    2 of   3   org/wikipedia/page/tabs/Tab$Companion
3c02f318700806d2    3 of  26   shark/ReferencePattern$StaticFieldPattern
6a1e0753e990651e    2 of   3   com/google/mlkit/common/internal/zzf
1e2ca5cdd582c7a7    3 of   3   shark/AndroidReferenceMatchers$HOST_ADPU_SERVICE_MSG_HANDLER
50e813d3979bfd65    5 of   5   com/google/android/datatransport/runtime/time/TimeModule_UptimeClockFactory
2d9d4d6fc9e170d6    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$13
